leaf_path,perimeter_px,height_px,width_px,area_contour_max_px,area_contour_px,area_px,actual_area
/content/dataset/IMG_20250711_154745.jpg,3219,1298,557,722986,457692,457772,7.57
/content/dataset/IMG_20250711_160727.jpg,3069,1127,689,776503,492397,492503,8.14
/content/dataset/IMG_20250711_160626.jpg,4434,1735,908,1575380,949103,949174,15.7
/content/dataset/IMG_20250711_161254.jpg,3675,1418,704,998272,634222,634413,10.49
/content/dataset/IMG_20250711_155906.jpg,3357,1242,737,915354,536628,536756,8.88
/content/dataset/IMG_20250711_162110.jpg,3642,1332,819,1090908,621356,621474,10.28
/content/dataset/IMG_20250711_163540.jpg,4392,1654,850,1405900,757172,757276,12.52
/content/dataset/IMG_20250711_153933.jpg,5934,2335,1174,2741290,1680412,1680415,27.79
/content/dataset/IMG_20250711_161141.jpg,3029,1193,579,690747,434194,434458,7.18
/content/dataset/IMG_20250711_160306.jpg,3271,1334,542,723028,405898,406114,6.72
/content/dataset/IMG_20250711_160817.jpg,2567,1026,470,482220,286091,286282,4.73
